CTL_2	SVSP1	SVSP2	SVSP3	SVSP4	SVSP5	SVSP6	SVSP7	SVSP8	SVSP9	PLA2B1	PLA2C1	PLA2A1	vQC2	EXO3	LAAO3	CRISP1	vQC1	VEGF1	EXO2	EXO1	SVMP1	SVMP2	SVMP3	SVMP4	SVMP5	SVMP6	SVMP7	SVMP8	SVMP9	SVMP10	ohanin	LAAO1	BPP	myotoxin
CREM	0.00024728356291787	0.000595127379833165	0.000195924003061984	0.00478705306306475	0.000799368745074202	0.000278828680853816	0.000162637123496109	0.000219195833189858	0.00100649607751405	0.000474950167839858	0.00138960471227969	8.0505867774047e-05	0.00165820965058099	8.81744104773102e-05	0.00127342238347085	0.000415144890404349	0.0040017785026373	0.0096921613451388	0.00110691634011459	0.000144443470870725	2.86867917061575e-05	0.00018118014497677	0.000221557471146547	0.000746215806467618	0.000547502697569366	0.00143081572714631	0.000235702961590486	0.000151096870352927	0.000113715121705386	0.00032744243441564	0.000371931447707981	0.000104112594764493	4.32504625379998e-05	0.0027655660224631	0.000167710064744962
DNAJC1	0.0181488344217043	0.0108445862464031	0.0233544158326983	0.0329960998010141	0.0144594326496345	0.0176768373258062	0.0111350839637347	0.0370141588374241	0.0176793900305617	0.0147687743249191	0.0189492990416	0.00747938784430386	0.0214365489868652	0.0172997574418467	0.0208252121211082	0.0110927565666207	0.0073664168113762	0.0164178976640665	0.0244428608516628	0.0192483992389184	0.0212080727740558	0.0105207453478154	0.0138937523675355	0.00928590111384067	0.0114681114214989	0.015636239660777	0.0121027414678061	0.0143048950807769	0.0107938393725677	0.0156552807857279	0.0177604224662263	0.0159968443816817	0.0116741302057224	0.0164128051936148	0.042707186080932
SKI	0.00216533424408159	0.00394842062054389	0.00110920363426233	0.0012781235588155	0.00870705522725087	0.00154004229706406	0.000684287572477673	0.000744871599074616	0.00350287693190478	0.00115438308983635	0.0016890428114354	0.000212025354731648	0.00258882173882351	0.00423056709950103	0.00153817292684687	0.00146063193917794	0.000344761892751057	0.000644085920214903	0.00676200919343738	0.000357753282046792	4.69006277100669e-05	0.000980788619607038	0.000951567266113257	0.00291048189483578	0.0038675208045675	0.00115958888494386	0.00336805995958371	0.00178323089932403	0.00154053180560539	0.00353404211650169	0.00166787769777886	0.00311481684946029	0.000422895036111082	0.00353025861369032	0.000679550862821719
RARA	0.00200828896352931	0.00531771784970008	0.00302903600810401	0.00128161745946179	0.00987468886764922	0.00121003940013294	0.00296768016530777	0.000745677236929095	0.00344686882342255	0.001371992029454	0.000619239113641584	0	0.00248978914957919	0.000125358692993303	0.000118669179808793	0.000315766522949799	0.00222470533839736	0.000407003641855881	0.00082996247604026	4.82027936764653e-05	0.00011474716682463	0.000611044283976572	0.000509784016813515	0.00404542023196549	0.000269172185456133	0.00201881588723126	0.0178601191673568	0.0010133075796664	0.0103017289048813	0.00169644644168246	0.000594992834162039	0.000110811727051832	1.73001850151999e-05	0.00179220454367277	0.000372033833992739
SP6	0.000342443893804379	0.00216010474689177	0.00022472673747282	0.000982666337327329	0.00483409524715671	0.00114338183771745	0.00046082616868234	0.00165534385614269	0.00054937719381052	0.00190714783428376	0.000198576522647476	2.78980729910063e-05	0.000105870700568661	0.0002060260165202	4.32990117110245e-05	0.00262481139885048	0.00214711862338042	0.00188607314311604	0.00112028871872405	4.7617808316314e-05	7.64981112164199e-05	0.00387775080000334	0.000736877918080551	0.000818747670667004	0.00761847616765261	0.000546089252167174	0.00512328611196558	0.000298007156492247	0.00516881124870042	0.00208406623087263	0.000338147913550611	5.30750383170297e-05	0	0.000216136304822122	0.00338923469907192
NFE2L1	0.00141755560185162	0.00362577807785637	0.00815355724799245	0.00450653916912647	0.00173354811520695	0.00412780925653212	0.000551455540062895	0.00290596730373094	0.00082876500959108	0.00503518350562385	0.000934378708369222	0	0.00313449192916492	0.00370532836985525	0.00180625276655752	0.000586584362184034	0.00747164374732334	0.0140400820866443	0.00722926534229472	8.97568108881255e-05	0.0466829663892649	0.00152781753111368	0.00139141202710454	0.00147571159214901	0.0091582521023517	0.00308797226550616	0.00122524770753695	0.00554178584887171	0.000885931923430276	0.00130178629802626	0.00114338423496972	0.0097697833309058	0.000332030473945568	0.00291192479406422	0.00829983755936247
ZNF652	0.0142744254205707	0.0100574589751179	0.0108253321467404	0.00797260450752274	0.00702056019055876	0.0131211938508739	0.00712441966069544	0.0179005505914683	0.00940386584191457	0.0133419542434793	0.0108950798658805	0.0103586451034283	0.0176690892726941	0.0178749752217904	0.00726338957397287	0.0383353785598022	0.0153188752375928	0.00656083651682658	0.012943864753181	0.00764346855212188	0.011921985503136	0.0223135305857528	0.0227688876440805	0.0205396638098112	0.0242573412152115	0.0265028947415094	0.00741980220220517	0.0290449745498702	0.0105335575457735	0.00915120473059025	0.020876765817681	0.00580878946604192	0.00843089493565929	0.0157113231550097	0.00993296587286784
UHRF1	0.000313687410462481	0.00054098538055513	0.00152881195050367	0.000319529187497497	0.00190832038317342	0.00341800673990093	0.00234113002149957	0.000722208240726354	0.000213779078832224	0.000450254503339535	0.00410608726239004	7.0530193189384e-05	0.00223166346612269	0.000136327309631838	0.00110989154180187	0.000551533624213259	0.000263091602179404	0.018671084017013	0.00226430821177963	0.0199974714418861	6.31492866714494e-05	0.000280092421380149	0.000305727750955472	0.000632950479487128	0.000392467644844978	0.00110889592192867	0.000286098022866616	0.000173694833939198	0.000261425880726354	0.000359110911021158	0.000289677967416098	0.0104018422899674	8.6860596282137e-05	0.00610976484135188	0.000587877311914311
GATAD2A	0.00262315425424028	0.00264350100626022	0.00173965349055568	0.00276701342181815	0.00581351398861934	0.00253130073809155	0.00295898031378792	0.00194674539811272	0.0046167189360343	0.00364443190952803	0.00176301248578977	0.00359825237741203	0.00194783939673859	0.000354146170391191	0.000775208303839515	0.0047960331235642	0.00452536137174089	0.00119421052848888	0.00250103661728416	0.00497803790707056	0.00257842833792749	0.00884059157764023	0.00582084090656066	0.0170350217104728	0.00812960125063233	0.00441432217275781	0.00175957678217395	0.00380600384498489	0.00456790945063616	0.00367617241932649	0.00204855883768184	0.005581411333711	0.000371953977826799	0.00403019542648697	0.0104612172393243
KLF16	0.00569184489621037	0.00214930314617425	0.00923579827546672	0.0116052828829959	0.00228839589855903	0.00509351443748766	0.00462942079496604	0.00844051007425849	0.00286480668045183	0.00478342823224197	0.0022256631238303	0.000691632681267439	0.00370574707903931	0.000910794612548704	0.00411525414480091	0.00213065926410986	0.0126611263736579	0.0140520677359083	0.013663989453164	0.000434867407760766	0.000305429327930623	0.00509460601084482	0.00209291816930028	0.00822636144898095	0.00308458310466504	0.00945053001950478	0.00630800904174568	0.00497543015087922	0.0039815027711005	0.00184071963132101	0.0019319384410228	0.00254432898307563	0.00987946525035874	0.00339584818993388	0.00965168877120821
