tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
Arnt	MA0004.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879459	8879464	2.72144	2.20807	1.91947	1	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879419	8879433	2.75359	2.21045	1.70847	1	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879445	8879459	2.75359	2.22759	1.91947	1	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879405	8879414	2.18485	2.04503	1.56949	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879405	8879414	2.18485	2.04503	1.56949	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879457	8879465	2.7134	2.20908	1.91289	1	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879492	8879502	2.72642	2.08196	1.91633	1	0	0	no
ATF4	MA0833.2	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879526	8879539	3.23985	2.49477	2.62572	1	1	1	yes
JUN	MA0488.1	crovir-transcript-SVSP_7	SVSP_7	scaffold-mi2	8879528	8879540	3.25808	2.5253	2.62572	1	1	1	yes
GRHL1	MA0647.1	crovir-transcript-SVSP_4	SVSP_4	scaffold-mi2	8663535	8663546	0.63576	0.90393	0.55393	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_4	SVSP_4	scaffold-mi2	8663535	8663546	0.63576	0.90393	0.55393	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587990	8588004	1.27357	1.06137	0.71569	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587745	8587759	2.616	1.46514	1.69621	1	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587640	8587654	1.57335	1.20767	1.62617	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587844	8587849	1.36505	1.52302	1.31457	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8588000	8588005	1.38859	1.03033	0.87479	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587388	8587393	0.84442	0.42625999999999997	0.66181	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587754	8587764	2.21899	1.04378	1.3884	0	0	0	no
ATF4	MA0833.2	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587910	8587923	1.24414	1.33347	1.15071	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587842	8587850	1.36505	1.52638	1.3705	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587999	8588007	1.38621	1.03033	0.87507	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587909	8587921	1.26293	1.33347	1.22931	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587668	8587679	1.87863	1.20767	1.77676	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_2	SVSP_2	scaffold-mi2	8587668	8587679	1.87863	1.20767	1.77676	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707584	8707596	1.41432	1.89645	1.56753	0	0	0	no
ATF4	MA0833.2	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707585	8707598	1.40312	1.89645	1.56753	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707511	8707516	1.57776	2.42847	1.74748	0	1	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707509	8707517	1.57401	2.37362	1.74748	0	1	0	no
Irx2	PH0082.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707528	8707544	1.61297	2.55071	1.74748	0	1	0	no
Irx2	PH0082.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707527	8707543	1.60909	2.55071	1.74748	0	1	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707710	8707719	1.16122	2.27503	2.55344	0	0	1	no
TFAP4	MA0691.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707710	8707719	1.16122	2.27503	2.55344	0	0	1	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707691	8707705	1.40031	2.6804	2.66189	0	1	1	yes
ZBTB26	MA1579.1	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707412	8707426	0.51131	1.04844	0.66139	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707421	8707431	0.51131	1.04844	0.63404	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707622	8707632	1.83395	1.93636	2.19481	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_10	SVSP_10	scaffold-mi2	8707877	8707887	0.49746	0.60839	0.96218	0	0	0	no
Irx2	PH0082.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751474	8751490	2.3877100000000002	4.43878	3.20771	1	1	1	yes
ZBTB26	MA1579.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751373	8751387	3.79345	4.37079	2.10543	1	1	0	yes
ZBTB26	MA1579.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751270	8751284	1.44258	2.35736	1.28697	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751630	8751638	1.40154	1.9925	2.27855	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751615	8751623	1.40154	1.9925	2.27855	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751296	8751307	1.72688	3.51347	1.88897	0	1	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751296	8751307	1.72688	3.51347	1.88897	0	1	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751382	8751392	3.79345	4.37079	2.10543	1	1	0	yes
Arnt	MA0004.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751616	8751621	1.40154	1.9925	2.27855	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_6	SVSP_6	scaffold-mi2	8751631	8751636	1.40154	1.9925	2.27855	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_1	SVSP_1	scaffold-mi2	8569458	8569472	0.75684	0.51238	0.94731	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVSP_1	SVSP_1	scaffold-mi2	8569377	8569389	0.67242	0.49292	0.69795	0	0	0	no
ATF4	MA0833.2	crovir-transcript-SVSP_1	SVSP_1	scaffold-mi2	8569378	8569391	0.67242	0.49153	0.67024	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_1	SVSP_1	scaffold-mi2	8569415	8569425	0.65696	0.4796	0.60168	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_11	SVSP_11	scaffold-mi2	8796755	8796760	1.20322	0.8374	0.84466	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_11	SVSP_11	scaffold-mi2	8796825	8796839	1.06652	1.27942	1.01408	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_11	SVSP_11	scaffold-mi2	8796993	8797003	0.99691	0.79894	1.18475	0	0	0	no
Irx2	PH0082.1	crovir-transcript-SVSP_11	SVSP_11	scaffold-mi2	8796745	8796761	1.19206	0.7765	0.88541	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627966	8627974	1.46121	0.67445	1.87181	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627665	8627674	1.19641	0.39406	1.08715	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8628002	8628011	1.13724	0.50385	1.14753	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8628002	8628011	1.13724	0.50385	1.14753	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627665	8627674	1.19641	0.39406	1.08715	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627842	8627852	1.73463	0.73435	1.66531	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627914	8627924	1.29919	0.79849	1.45819	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627983	8627997	1.45814	0.61177	1.70644	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627957	8627971	1.44864	0.67445	1.87181	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627833	8627847	1.85175	0.73098	1.66531	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627967	8627972	1.46121	0.67445	1.87181	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627756	8627767	1.76699	1.03068	2.06953	0	0	0	no
GRHL1	MA0647.1	crovir-transcript-SVSP_3	SVSP_3	scaffold-mi2	8627756	8627767	1.76699	1.03068	2.06953	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739440	8739450	1.35093	1.56617	1.6467	0	0	0	no
SOX10	MA0442.2	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739627	8739637	3.4182	2.07152	3.10844	1	0	1	yes
ATF4	MA0833.2	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739590	8739603	4.12441	3.3909	3.83502	1	1	1	yes
Irx2	PH0082.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739547	8739563	3.8833	3.35589	3.888	1	1	1	yes
Irx2	PH0082.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739546	8739562	3.926	3.39658	3.91714	1	1	1	yes
ZBTB26	MA1579.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739670	8739684	2.41987	0.85676	1.91026	1	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739431	8739445	1.35093	1.56617	1.6467	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739528	8739536	4.18384	3.46739	4.12695	1	1	1	yes
TFAP4	MA0691.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739715	8739724	1.74674	0.61312	1.80927	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739715	8739724	1.74674	0.61312	1.80927	0	0	0	no
Arnt	MA0004.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739530	8739535	4.18384	3.46522	4.12695	1	1	1	yes
JUN	MA0488.1	crovir-transcript-SVSP_5	SVSP_5	scaffold-mi2	8739589	8739601	4.12441	3.39772	3.83502	1	1	1	yes
SOX10	MA0442.2	crovir-transcript-SVSP_8	SVSP_8	scaffold-mi2	8948025	8948035	0.72908	1.10229	1.21283	0	0	0	no
ATF4	MA0833.2	crovir-transcript-SVSP_8	SVSP_8	scaffold-mi2	8947863	8947876	2.08899	2.7158	3.50639	0	1	1	yes
ZBTB26	MA1579.1	crovir-transcript-SVSP_8	SVSP_8	scaffold-mi2	8947756	8947770	1.46355	1.86443	2.17291	0	0	0	no
ZBTB26	MA1579.1	crovir-transcript-SVSP_8	SVSP_8	scaffold-mi2	8947782	8947796	1.84059	2.0835	2.44603	0	0	1	no
