tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
RORA	MA0071.1	PER39_PLA2_A1	NA	scaffold-mi7	3044430	3044439	1.79385	3.34038	3.04983	0	1	1	yes
SOX9	MA0077.1	PER39_PLA2_A1	NA	scaffold-mi7	3044374	3044382	1.6076	3.3783	2.42061	0	1	0	no
SOX9	MA0077.1	PER39_PLA2_A1	NA	scaffold-mi7	3044371	3044379	1.6076	3.36792	2.42061	0	1	0	no
RORA	MA0071.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035239	3035248	2.25263	1.78915	3.75968	0	0	1	no
RORA	MA0071.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3034985	3034994	1.82082	1.87062	1.68814	0	0	0	no
EHF	MA0598.3	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035067	3035081	3.38909	2.78266	2.221	1	1	0	yes
SPDEF	MA0686.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035132	3035142	3.74597	2.3625	3.15993	1	0	1	yes
SOX9	MA0077.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035091	3035099	3.49004	2.28129	2.60849	1	0	1	yes
SOX9	MA0077.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035161	3035169	3.31263	2.41016	3.13302	1	1	1	yes
SOX9	MA0077.1	PER38_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3035088	3035096	3.26358	2.37221	2.48225	1	1	1	yes
RORA	MA0071.1	PER37_PLA2_B1.PLA2_K	NA	scaffold-mi7	3030377	3030386	2.6029	4.25593	4.5446	1	1	1	yes
SOX9	MA0077.1	PER37_PLA2_B1.PLA2_K	NA	scaffold-mi7	3030430	3030438	2.96248	5.33644	4.79684	1	1	1	yes
SOX9	MA0077.1	PER37_PLA2_B1.PLA2_K	NA	scaffold-mi7	3030503	3030511	1.12248	2.95666	1.80573	0	1	0	no
SOX9	MA0077.1	PER37_PLA2_B1.PLA2_K	NA	scaffold-mi7	3030500	3030508	1.12393	2.95666	1.80573	0	1	0	no
SPDEF	MA0686.1	PER37_PLA2_B1.PLA2_K	NA	scaffold-mi7	3030457	3030467	1.8048	2.96536	3.42716	0	1	1	yes
SOX9	MA0077.1	PER36_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3024233	3024241	4.373	2.5779	3.37598	1	1	1	yes
SOX9	MA0077.1	PER36_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3024485	3024493	3.82502	6.40033	4.12103	1	1	1	yes
SOX9	MA0077.1	PER36_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3024230	3024238	4.373	2.5779	3.37598	1	1	1	yes
SPDEF	MA0686.1	PER36_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3024653	3024663	1.18979	1.83877	1.19531	0	0	0	no
RORA	MA0071.1	PER36_PLA2_B1.PLA2_K.PLA2_A1	NA	scaffold-mi7	3024547	3024556	2.49606	4.26305	2.31105	1	1	0	yes
