tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566472	256566477	4.05982	4.78154	4.63796	1	1	1	yes
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566608	256566613	3.57697	2.65009	3.16945	1	1	1	yes
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566699	256566704	1.80968	1.71293	2.05163	0	0	0	no
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566711	256566716	1.80968	1.71293	2.05163	0	0	0	no
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566724	256566729	1.80968	1.71293	2.05026	0	0	0	no
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566778	256566783	1.10009	0.57006	0.29869	0	0	0	no
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566791	256566796	1.10009	0.58166	0.27165	0	0	0	no
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566660	256566665	3.54345	2.72111	2.96145	1	1	1	yes
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566486	256566491	3.52556	4.20411	3.40864	1	1	1	yes
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566458	256566463	4.06388	4.80675	4.70666	1	1	1	yes
Arid3a	MA0151.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566362	256566367	2.90144	3.0988	3.77798	1	1	1	yes
PITX2	MA1547.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566310	256566317	1.43322	1.25047	1.57821	0	0	0	no
PITX2	MA1547.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566661	256566668	3.54345	2.63026	2.96145	1	1	1	yes
PITX2	MA1547.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566763	256566770	1.10009	0.91618	0.76532	0	0	0	no
PITX2	MA1547.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566567	256566574	3.58966	3.24692	3.37053	1	1	1	yes
FOXO3	MA0157.2	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566608	256566615	3.61876	2.56905	3.11036	1	1	1	yes
EHF	MA0598.3	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566726	256566740	1.80968	1.71293	2.02309	0	0	0	no
Bhlha15	MA0607.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566707	256566714	1.80968	1.71293	2.05163	0	0	0	no
GRHL2	MA1105.2	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566462	256566473	4.06388	4.80675	4.67673	1	1	1	yes
SPDEF	MA0686.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566473	256566483	3.90945	4.75633	4.40558	1	1	1	yes
SOX9	MA0077.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566364	256566372	2.90144	3.0988	3.77798	1	1	1	yes
SOX9	MA0077.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566758	256566766	1.1027	1.12497	0.96245	0	0	0	no
SOX9	MA0077.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566783	256566791	1.10009	0.5771	0.28281	0	0	0	no
SOX9	MA0077.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566650	256566658	3.54345	3.17297	3.13144	1	1	1	yes
SOX9	MA0077.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566384	256566392	2.90144	3.0988	3.77798	1	1	1	yes
FOXO4	MA0848.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566549	256566555	3.37572	3.3849	3.05373	1	1	1	yes
FOXO4	MA0848.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566608	256566614	3.59927	2.60282	3.13498	1	1	1	yes
FOXO4	MA0848.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566750	256566756	1.31289	1.43367	1.32387	0	0	0	no
SREBF2	MA0596.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566426	256566435	4.09526	4.80675	4.88804	1	1	1	yes
FOS	MA0476.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566454	256566464	4.06432	4.80675	4.76318	1	1	1	yes
FOS	MA0476.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566454	256566464	4.06432	4.80675	4.76318	1	1	1	yes
ELF5	MA0136.2	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566728	256566738	1.80968	1.71293	2.02509	0	0	0	no
ELF5	MA0136.2	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566339	256566349	1.64639	1.62895	2.4255	0	0	0	no
FIGLA	MA0820.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566421	256566430	4.09526	4.71426	4.88804	1	1	1	yes
FIGLA	MA0820.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566421	256566430	4.09526	4.71426	4.88804	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566439	256566448	4.09526	4.80675	4.88804	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566501	256566510	3.96358	4.95822	4.04789	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566529	256566538	3.37721	4.95822	3.94181	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566627	256566636	3.6546	3.21276	3.24278	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566770	256566779	1.10009	0.60708	0.43065	0	0	0	no
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566795	256566804	1.10009	0.5869	0.30558	0	0	0	no
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566686	256566695	3.00015	2.00428	2.26945	1	0	0	no
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566639	256566648	3.54345	3.21276	3.24278	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566637	256566646	3.52194	3.21276	3.24278	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566632	256566641	3.50712	3.21276	3.24278	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566550	256566559	3.26792	3.05061	3.00755	1	1	1	yes
TBX3	MA1566.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566318	256566327	1.58496	1.29093	1.9216	0	0	0	no
NFATC1	MA0624.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566339	256566348	1.61329	1.58714	2.37933	0	0	0	no
NFATC1	MA0624.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566728	256566737	1.80968	1.71293	2.02941	0	0	0	no
Dlx4	MA0881.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566377	256566384	2.90144	3.0988	3.77798	1	1	1	yes
Dlx4	MA0881.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566449	256566456	4.08692	4.80675	4.88804	1	1	1	yes
Dlx4	MA0881.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566788	256566795	1.10009	0.58035	0.27717	0	0	0	no
Dlx4	MA0881.1	PER3_cvt9447-vQC_1	NA	scaffold-ma1	256566763	256566770	1.10009	0.91618	0.76532	0	0	0	no
