tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
SOX10	MA0442.2	crovir-transcript-1322	vQC_2	scaffold-mi7	5091094	5091104	0	0	0	0	0	0	no
RORA	MA0071.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090870	5090879	0	0	0	0	0	0	no
RORA	MA0071.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090847	5090856	0	0	0	0	0	0	no
RORA	MA0071.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090503	5090512	0	0	0	0	0	0	no
FOXO4	MA0848.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090464	5090470	0	0	0	0	0	0	no
ZNF341	MA1655.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090394	5090405	0	0	0	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090721	5090729	0	0	0	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090956	5090964	0	0	0	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090957	5090965	0	0	0	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090722	5090730	0	0	0	0	0	0	no
GRHL2	MA1105.2	crovir-transcript-1322	vQC_2	scaffold-mi7	5091062	5091073	0	0	0	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090397	5090406	0	0	0	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090452	5090461	0	0	0	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090452	5090461	0	0	0	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090397	5090406	0	0	0	0	0	0	no
Tcfcp2l1	MA0145.2	crovir-transcript-1322	vQC_2	scaffold-mi7	5090307	5090320	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090397	5090406	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090452	5090461	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090497	5090506	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090686	5090695	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090787	5090796	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090902	5090911	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090956	5090965	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090971	5090980	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5091005	5091014	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090956	5090965	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090599	5090608	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090488	5090497	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090452	5090461	0	0	0	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090397	5090406	0	0	0	0	0	0	no
Arid3a	MA0151.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090378	5090383	0	0	0	0	0	0	no
Arid3a	MA0151.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090427	5090432	0	0	0	0	0	0	no
Arid3a	MA0151.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090431	5090436	0	0	0	0	0	0	no
Arid3a	MA0151.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090464	5090469	0	0	0	0	0	0	no
Arid3a	MA0151.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090884	5090889	0	0	0	0	0	0	no
NR4A2	MA0160.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090502	5090509	0	0	0	0	0	0	no
CREB3	MA0638.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090954	5090967	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090556	5090565	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090601	5090610	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090609	5090618	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090941	5090950	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090943	5090952	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090945	5090954	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090947	5090956	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090949	5090958	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090951	5090960	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090994	5091003	0	0	0	0	0	0	no
TBX3	MA1566.1	crovir-transcript-1322	vQC_2	scaffold-mi7	5090954	5090963	0	0	0	0	0	0	no
