tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
TFAP2A	MA0003.4	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041755	3041768	0.57756	1.07361	0.86063	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041837	3041846	1.56062	2.75428	1.4001	0	1	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041897	3041906	2.43616	3.66086	2.35761	1	1	0	yes
TBX3	MA1566.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041945	3041954	1.7255	2.30854	1.91841	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041741	3041750	0.5386	0.76715	0.6529	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041805	3041813	1.52923	2.15937	1.64591	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041806	3041814	1.53265	2.20269	1.64591	0	0	0	no
CLOCK	MA0819.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041805	3041814	1.53018	2.18007	1.64591	0	0	0	no
CLOCK	MA0819.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041805	3041814	1.53018	2.18007	1.64591	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041736	3041745	0.51452	0.68956	0.65769	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041805	3041814	1.53018	2.18007	1.64591	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041852	3041861	1.82274	2.97685	1.65707	0	1	0	no
