tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
ELK4	MA0076.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300792	14300802	1.40473	1.32408	2.18813	0	0	0	no
ELK4	MA0076.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300808	14300818	1.25131	1.32408	1.68657	0	0	0	no
FOXI1	MA0042.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300845	14300851	1.91099	2.36247	1.93698	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300998	14301007	2.42436	1.37073	2.36101	1	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300998	14301007	2.42436	1.37073	2.36101	1	0	0	no
SREBF1	MA0595.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300984	14300993	2.41329	1.35428	2.35988	1	0	0	no
SREBF1	MA0595.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14301061	14301070	1.5195	0.70925	1.24694	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300888	14300900	2.15347	2.48385	2.22275	0	1	0	no
EHF	MA0598.3	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300807	14300821	1.2829	1.32447	1.70383	0	0	0	no
EHF	MA0598.3	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300834	14300848	1.57041	1.90005	1.76604	0	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300894	14300901	2.34572	2.34754	2.22197	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300894	14300901	2.34572	2.34754	2.22197	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14301084	14301091	1.46468	0.46214	1.12205	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300998	14301007	2.42436	1.37073	2.36101	1	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300965	14300974	3.00117	1.55805	2.19824	1	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300998	14301007	2.42436	1.37073	2.36101	1	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300961	14300971	3.00117	1.59381	2.19824	1	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300836	14300846	1.53575	1.9094	1.73715	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300809	14300819	1.25394	1.32408	1.67917	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300727	14300737	1.29964	0.9799	2.0052	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300791	14300801	1.40473	1.32408	2.18892	0	0	0	no
Tcfcp2l1	MA0145.2	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300783	14300796	1.40473	1.29946	2.18892	0	0	0	no
SREBF2	MA0596.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14301061	14301070	1.5195	0.70925	1.24694	0	0	0	no
SREBF2	MA0596.1	crovir-transcript-SVMP_8	SVMP_8	scaffold-mi1	14300984	14300993	2.41329	1.35428	2.35988	1	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190330	14190340	0.91834	0.83467	1.58275	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190204	14190214	0.96814	1.17321	1.44285	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190177	14190187	0.84753	0.93501	1.19875	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190159	14190169	0.61837	0.97937	0.96985	0	0	0	no
ELK4	MA0076.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190160	14190170	0.62134	0.97937	0.97982	0	0	0	no
ELK4	MA0076.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190176	14190186	0.84206	0.92318	1.1898	0	0	0	no
SREBF2	MA0596.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190353	14190362	1.055	0.91979	1.27819	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190367	14190376	1.055	0.95138	1.28164	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190367	14190376	1.055	0.95138	1.28164	0	0	0	no
FOXI1	MA0042.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190213	14190219	0.96814	1.17711	1.47892	0	0	0	no
Tcfcp2l1	MA0145.2	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190151	14190164	0.62775	0.97937	0.88364	0	0	0	no
SREBF1	MA0595.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190353	14190362	1.055	0.91979	1.27819	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190367	14190376	1.055	0.95138	1.28164	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190334	14190343	0.94106	0.83467	1.58275	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190367	14190376	1.055	0.95138	1.28164	0	0	0	no
EHF	MA0598.3	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190175	14190189	0.84909	0.95456	1.18696	0	0	0	no
EHF	MA0598.3	crovir-transcript-SVMP_5	SVMP_5	scaffold-mi1	14190202	14190216	0.96814	1.1734	1.4172	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393427	14393439	2.48835	1.53877	1.47267	1	0	0	no
SREBF1	MA0595.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393523	14393532	3.2725	1.94741	2.34795	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393517	14393524	3.2725	1.7729	2.01165	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393433	14393440	2.82735	1.63236	1.43484	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393433	14393440	2.82735	1.63236	1.43484	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393517	14393524	3.2725	1.7729	2.01165	1	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393504	14393513	3.2725	1.78172	1.95894	1	0	0	no
FIGLA	MA0820.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393504	14393513	3.2725	1.78172	1.95894	1	0	0	no
FOXI1	MA0042.2	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393384	14393390	1.95268	1.38929	1.17153	0	0	0	no
ELF5	MA0136.2	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393500	14393510	3.2725	1.78172	1.95894	1	0	0	no
SREBF2	MA0596.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393523	14393532	3.2725	1.94741	2.34795	1	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393504	14393513	3.2725	1.78172	1.95894	1	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_10	SVMP_10	scaffold-mi1	14393504	14393513	3.2725	1.78172	1.95894	1	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272809	14272816	1.61929	1.32901	1.23506	0	0	0	no
Bhlha15	MA0607.1	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272809	14272816	1.61929	1.32901	1.23506	0	0	0	no
JUN	MA0488.1	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272803	14272815	1.76156	1.5038	1.30839	0	0	0	no
TFAP4	MA0691.1	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272914	14272923	1.5127	1.36285	2.54585	0	0	1	no
TFAP4	MA0691.1	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272914	14272923	1.5127	1.36285	2.54585	0	0	1	no
Tcfcp2l1	MA0145.2	crovir-transcript-SVMP_7	SVMP_7	scaffold-mi1	14272698	14272711	1.30836	1.0883	1.2454	0	0	0	no
