tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
RORC	MA1151.1	PER27_SVSP_11	NA	scaffold-mi2	8848980	8848991	5.15564	3.90902	3.74007	1	1	1	yes
NR4A2	MA0160.1	PER27_SVSP_11	NA	scaffold-mi2	8849004	8849011	4.71177	3.60284	2.60214	1	1	1	yes
NR4A2	MA0160.1	PER27_SVSP_11	NA	scaffold-mi2	8848979	8848986	5.22735	3.90902	3.78308	1	1	1	yes
NR4A2	MA0160.1	PER27_SVSP_11	NA	scaffold-mi2	8848881	8848888	5.02968	3.36582	2.77179	1	1	1	yes
Arid3a	MA0151.1	PER27_SVSP_11	NA	scaffold-mi2	8848847	8848852	2.65824	2.16798	1.81211	1	0	0	no
Arid3a	MA0151.1	PER27_SVSP_11	NA	scaffold-mi2	8848901	8848906	5.02968	3.36582	4.11751	1	1	1	yes
Arid3a	MA0151.1	PER27_SVSP_11	NA	scaffold-mi2	8848988	8848993	5.15564	3.90902	3.58111	1	1	1	yes
Arid3a	MA0151.1	PER27_SVSP_11	NA	scaffold-mi2	8849009	8849014	4.32342	3.42322	2.22938	1	1	0	yes
MEIS1	MA0498.2	PER27_SVSP_11	NA	scaffold-mi2	8848918	8848924	5.02968	3.39851	4.49835	1	1	1	yes
NFIX	MA0671.1	PER27_SVSP_11	NA	scaffold-mi2	8848970	8848978	6.09381	4.35994	3.81298	1	1	1	yes
NFIX	MA0671.1	PER27_SVSP_11	NA	scaffold-mi2	8848924	8848932	5.02215	3.39851	4.49835	1	1	1	yes
FIGLA	MA0820.1	PER27_SVSP_11	NA	scaffold-mi2	8848920	8848929	5.02968	3.39851	4.49835	1	1	1	yes
SREBF2	MA0596.1	PER27_SVSP_11	NA	scaffold-mi2	8848876	8848885	4.89936	3.28827	2.42195	1	1	0	yes
ELF5	MA0136.2	PER27_SVSP_11	NA	scaffold-mi2	8848798	8848808	1.59968	1.74978	1.83641	0	0	0	no
ELF5	MA0136.2	PER27_SVSP_11	NA	scaffold-mi2	8848816	8848826	2.30118	2.16798	1.5997	0	0	0	no
ELF5	MA0136.2	PER27_SVSP_11	NA	scaffold-mi2	8849034	8849044	2.97931	2.13636	2.60543	1	0	1	yes
ELF5	MA0136.2	PER27_SVSP_11	NA	scaffold-mi2	8848973	8848983	5.75663	4.11238	3.78895	1	1	1	yes
GRHL2	MA1105.2	PER27_SVSP_11	NA	scaffold-mi2	8848952	8848963	6.11656	4.46379	3.85456	1	1	1	yes
Dlx4	MA0881.1	PER27_SVSP_11	NA	scaffold-mi2	8848873	8848880	4.73373	3.14336	2.29106	1	1	0	yes
Dlx4	MA0881.1	PER27_SVSP_11	NA	scaffold-mi2	8848836	8848843	2.52289	2.16798	1.73903	1	0	0	no
Ddit3::Cebpa	MA0019.1	PER27_SVSP_11	NA	scaffold-mi2	8848934	8848945	5.34796	4.09746	3.74746	1	1	1	yes
SREBF1	MA0595.1	PER27_SVSP_11	NA	scaffold-mi2	8848963	8848972	6.11656	4.46379	3.85456	1	1	1	yes
SOX9	MA0077.1	PER27_SVSP_11	NA	scaffold-mi2	8848999	8849007	4.94466	3.72159	3.08929	1	1	1	yes
SOX9	MA0077.1	PER27_SVSP_11	NA	scaffold-mi2	8848900	8848908	5.02968	3.36582	4.11046	1	1	1	yes
GRHL1	MA0647.1	PER27_SVSP_11	NA	scaffold-mi2	8848952	8848963	6.11656	4.46379	3.85456	1	1	1	yes
GRHL1	MA0647.1	PER27_SVSP_11	NA	scaffold-mi2	8848952	8848963	6.11656	4.46379	3.85456	1	1	1	yes
RORA	MA0071.1	PER27_SVSP_11	NA	scaffold-mi2	8848980	8848989	5.15564	3.90902	3.76936	1	1	1	yes
BARX2	MA1471.1	PER27_SVSP_11	NA	scaffold-mi2	8848873	8848884	4.84134	3.21448	2.34628	1	1	0	yes
GRHL1	MA0647.1	PER16_SVSP_2	NA	scaffold-mi2	8535640	8535651	1.62177	3.47244	2.04004	0	1	0	no
GRHL1	MA0647.1	PER16_SVSP_2	NA	scaffold-mi2	8535640	8535651	1.62177	3.47244	2.04004	0	1	0	no
Creb3l2	MA0608.1	PER16_SVSP_2	NA	scaffold-mi2	8535814	8535822	5.82	9.18897	7.0102	1	1	1	yes
Creb3l2	MA0608.1	PER16_SVSP_2	NA	scaffold-mi2	8535963	8535971	3.42716	3.65107	3.02723	1	1	1	yes
BARX2	MA1471.1	PER16_SVSP_2	NA	scaffold-mi2	8535587	8535598	0.7809	1.43743	1.56283	0	0	0	no
TFAP4	MA0691.1	PER16_SVSP_2	NA	scaffold-mi2	8535551	8535560	0.76474	1.16458	1.41136	0	0	0	no
TFAP4	MA0691.1	PER16_SVSP_2	NA	scaffold-mi2	8535551	8535560	0.76474	1.16458	1.41136	0	0	0	no
CREB3	MA0638.1	PER16_SVSP_2	NA	scaffold-mi2	8535960	8535973	3.42761	3.64996	3.02723	1	1	1	yes
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8535693	8535701	1.92093	4.22026	2.62669	0	1	1	yes
